1.四则运算题目1    1 - 1 = 
2979.四则运算题目2979    3 * 6 + 3 * 0 = 
2980.四则运算题目2980    7 / 3 + 3 + 4 = 
2981.四则运算题目2981    8 * 6 / 6 / 6 = 
2982.四则运算题目2982    4 * 4 - 4 * 2 = 
2983.四则运算题目2983    6 - 1 / 8 = 
2984.四则运算题目2984    9 - 3 + 5 * 3 = 
2985.四则运算题目2985    3 * 9 / 2 = 
2986.四则运算题目2986    5 - 5 + 5 + 5 = 
2987.四则运算题目2987    6 - 8 / 6 = 
2988.四则运算题目2988    7 + 9 - 7 + 0 = 
2989.四则运算题目2989    3 + 9 * 2 / 2 = 
2990.四则运算题目2990    8 - 6 / 8 = 
2991.四则运算题目2991    4 * 6 / 6 / 6 = 
2992.四则运算题目2992    8 + 8 + 7 - 7 = 
2993.四则运算题目2993    9 * 2 + 8 / 9 = 
2994.四则运算题目2994    9 - 2 + 9 - 9 = 
2995.四则运算题目2995    6 * 7 + 3 - 7 = 
2996.四则运算题目2996    7 / 7 / 3 + 5 = 
2997.四则运算题目2997    2 / 2 / 8 + 9 = 
2998.四则运算题目2998    6 * 7 - 7 - 6 = 
2999.四则运算题目2999    7 / 8 + 7 / 7 = 
3000.四则运算题目3000    9 * 1 + 1 + 1 = 
3001.四则运算题目3001    7 - 1 * 4 + 1 = 
3002.四则运算题目3002    8 - 3 + 8 - 4 = 
3003.四则运算题目3003    9 * 9 + 1 - 1 = 
3004.四则运算题目3004    2 * 2 - 2 + 2 = 
3005.四则运算题目3005    5 / 5 / 2 * 9 = 
3006.四则运算题目3006    8 * 8 * 6 = 
3007.四则运算题目3007    7 + 8 * 7 = 
3008.四则运算题目3008    1 + 5 * 1 + 4 = 
3009.四则运算题目3009    0 + 9 * 8 / 4 = 
3010.四则运算题目3010    5 * 2 + 9 - 2 = 
3011.四则运算题目3011    3 - 0 / 7 + 7 = 
3012.四则运算题目3012    1 / 6 + 9 = 
3013.四则运算题目3013    5 * 6 + 6 = 
3014.四则运算题目3014    7 + 7 + 1 / 1 = 
3015.四则运算题目3015    7 + 8 / 5 = 
3016.四则运算题目3016    2 / 5 * 2 = 
3017.四则运算题目3017    7 + 7 + 6 * 8 = 
3018.四则运算题目3018    4 * 8 + 4 * 8 = 
3019.四则运算题目3019    7 * 9 - 9 = 
3020.四则运算题目3020    9 * 6 + 6 = 
3021.四则运算题目3021    6 + 5 / 6 + 6 = 
3022.四则运算题目3022    2 + 5 - 5 - 2 = 
3023.四则运算题目3023    3 / 9 + 9 - 9 = 
3024.四则运算题目3024    5 - 2 / 2 + 2 = 
3025.四则运算题目3025    7 * 6 + 2 - 2 = 
3026.四则运算题目3026    4 + 7 - 4 + 6 = 
3027.四则运算题目3027    2 + 2 + 2 / 7 = 
3028.四则运算题目3028    2 - 9 / 5 = 
3029.四则运算题目3029    5 / 5 / 6 * 7 = 
3030.四则运算题目3030    3 / 6 + 6 + 2 = 
3031.四则运算题目3031    1 + 5 - 1 + 2 = 
3032.四则运算题目3032    7 + 2 - 3 / 2 = 
3033.四则运算题目3033    9 / 5 + 5 = 
3034.四则运算题目3034    6 + 6 + 4 - 4 = 
3035.四则运算题目3035    7 / 7 / 8 + 2 = 
3036.四则运算题目3036    8 / 1 - 8 * 1 = 
3037.四则运算题目3037    1 / 8 + 8 + 9 = 
3038.四则运算题目3038    5 + 3 - 5 + 3 = 
3039.四则运算题目3039    5 / 4 + 1 = 
3040.四则运算题目3040    9 / 8 + 2 = 
3041.四则运算题目3041    3 * 3 / 3 = 
3042.四则运算题目3042    3 + 8 * 4 / 3 = 
3043.四则运算题目3043    5 * 8 / 7 + 7 = 
3044.四则运算题目3044    2 + 6 - 2 + 6 = 
3045.四则运算题目3045    3 + 5 - 8 / 8 = 
3046.四则运算题目3046    1 + 7 / 3 = 
3047.四则运算题目3047    1 - 4 / 5 + 4 = 
3048.四则运算题目3048    3 / 5 * 3 / 5 = 
3049.四则运算题目3049    3 + 1 - 4 / 3 = 
3050.四则运算题目3050    2 - 2 * 3 / 5 = 
3051.四则运算题目3051    6 * 6 * 5 - 2 = 
3052.四则运算题目3052    2 + 2 * 3 - 3 = 
3053.四则运算题目3053    9 - 7 / 9 - 6 = 
3054.四则运算题目3054    7 + 9 * 7 + 7 = 
3055.四则运算题目3055    8 * 5 - 9 = 
3056.四则运算题目3056    7 * 8 + 7 * 4 = 
3057.四则运算题目3057    2 / 4 * 5 = 
3058.四则运算题目3058    7 * 3 / 4 = 
3059.四则运算题目3059    2 - 5 / 5 / 1 = 
3060.四则运算题目3060    4 + 8 / 6 * 4 = 
3061.四则运算题目3061    7 * 1 + 1 - 1 = 
3062.四则运算题目3062    9 / 9 / 3 = 
3063.四则运算题目3063    1 + 6 / 1 + 4 = 
3064.四则运算题目3064    8 - 8 / 6 = 
3065.四则运算题目3065    1 / 8 + 4 = 
3066.四则运算题目3066    4 - 4 + 4 + 4 = 
3067.四则运算题目3067    9 + 7 * 3 = 
3068.四则运算题目3068    3 + 7 * 7 * 8 = 
3069.四则运算题目3069    6 / 4 * 6 / 6 = 
3070.四则运算题目3070    9 + 6 - 9 = 
3071.四则运算题目3071    9 * 9 + 7 - 9 = 
3072.四则运算题目3072    3 / 3 / 4 = 
3073.四则运算题目3073    6 - 5 + 6 - 6 = 
3074.四则运算题目3074    6 + 2 / 2 = 
3075.四则运算题目3075    7 + 4 - 4 = 
3076.四则运算题目3076    3 / 5 + 3 = 
3077.四则运算题目3077    9 / 9 + 8 - 9 = 
3078.四则运算题目3078    0 + 1 * 9 - 1 = 
3079.四则运算题目3079    2 * 9 - 8 / 8 = 
3080.四则运算题目3080    4 / 5 + 4 = 
3081.四则运算题目3081    4 - 3 + 4 - 4 = 
3082.四则运算题目3082    6 - 0 / 9 + 9 = 
3083.四则运算题目3083    9 / 7 + 3 = 
3084.四则运算题目3084    0 + 8 * 7 = 
3085.四则运算题目3085    6 * 6 * 9 / 6 = 
3086.四则运算题目3086    9 - 5 + 5 + 9 = 
3087.四则运算题目3087    1 / 3 + 5 * 0 = 
3088.四则运算题目3088    7 + 6 * 5 / 5 = 
3089.四则运算题目3089    0 + 7 / 6 = 
3090.四则运算题目3090    5 * 1 / 5 * 1 = 
3091.四则运算题目3091    6 - 8 / 8 / 8 = 
3092.四则运算题目3092    8 * 8 * 1 = 
3093.四则运算题目3093    1 * 6 - 2 / 6 = 
3094.四则运算题目3094    7 + 3 / 2 * 3 = 
3095.四则运算题目3095    9 / 9 / 9 / 1 = 
3096.四则运算题目3096    7 / 5 + 9 = 
3097.四则运算题目3097    5 / 7 + 7 + 5 = 
3098.四则运算题目3098    7 + 7 + 7 + 8 = 
3099.四则运算题目3099    7 + 8 / 7 = 
3100.四则运算题目3100    1 + 1 + 6 - 6 = 
3101.四则运算题目3101    1 * 9 / 1 * 5 = 
3102.四则运算题目3102    0 + 9 * 9 * 5 = 
3103.四则运算题目3103    6 / 9 * 6 = 
3104.四则运算题目3104    4 + 1 - 1 - 1 = 
3105.四则运算题目3105    8 - 3 * 7 / 8 = 
3106.四则运算题目3106    8 * 9 + 9 + 1 = 
3107.四则运算题目3107    7 + 5 * 1 / 5 = 
3108.四则运算题目3108    5 * 1 / 5 * 5 = 
3109.四则运算题目3109    4 + 5 / 5 / 4 = 
3110.四则运算题目3110    7 * 4 + 4 + 7 = 
3111.四则运算题目3111    6 / 4 + 4 = 
3112.四则运算题目3112    5 * 5 + 5 / 6 = 
3113.四则运算题目3113    3 / 1 * 3 / 3 = 
3114.四则运算题目3114    9 * 9 / 3 = 
3115.四则运算题目3115    3 / 9 * 3 / 1 = 
3116.四则运算题目3116    1 / 9 + 6 - 6 = 
3117.四则运算题目3117    1 + 4 / 4 / 4 = 
3118.四则运算题目3118    1 + 4 - 4 - 1 = 
3119.四则运算题目3119    9 - 8 / 9 - 3 = 
3120.四则运算题目3120    3 / 8 * 6 + 3 = 
3121.四则运算题目3121    9 * 2 / 2 = 
3122.四则运算题目3122    9 / 4 + 9 / 4 = 
3123.四则运算题目3123    2 * 4 + 0 / 3 = 
3124.四则运算题目3124    1 / 2 - 0 + 0 = 
3125.四则运算题目3125    8 * 9 + 7 - 7 = 
3126.四则运算题目3126    5 + 8 / 4 * 4 = 
3127.四则运算题目3127    7 * 7 + 7 - 7 = 
3128.四则运算题目3128    5 * 9 + 3 / 9 = 
3129.四则运算题目3129    2 + 5 / 7 = 
3130.四则运算题目3130    6 + 7 / 6 + 6 = 
3131.四则运算题目3131    7 * 2 / 5 = 
3132.四则运算题目3132    6 + 7 * 7 * 3 = 
3133.四则运算题目3133    5 / 5 / 9 + 3 = 
3134.四则运算题目3134    5 - 0 / 6 = 
3135.四则运算题目3135    8 * 5 + 5 + 0 = 
3136.四则运算题目3136    5 * 5 - 9 = 
3137.四则运算题目3137    7 / 3 + 7 = 
3138.四则运算题目3138    4 + 4 + 2 / 8 = 
3139.四则运算题目3139    4 - 8 / 6 = 
3140.四则运算题目3140    7 + 2 - 7 + 2 = 
3141.四则运算题目3141    4 * 6 / 9 = 
3142.四则运算题目3142    4 * 8 - 8 - 4 = 
3143.四则运算题目3143    3 - 4 / 7 + 4 = 
3144.四则运算题目3144    1 * 7 + 4 - 7 = 
3145.四则运算题目3145    6 / 6 / 6 / 7 = 
3146.四则运算题目3146    8 * 1 / 4 + 9 = 
3147.四则运算题目3147    9 * 1 + 9 * 3 = 
3148.四则运算题目3148    9 + 8 * 8 * 9 = 
3149.四则运算题目3149    7 + 3 / 7 + 7 = 
3150.四则运算题目3150    2 * 6 + 0 - 2 = 
3151.四则运算题目3151    9 + 9 + 0 / 7 = 
3152.四则运算题目3152    3 + 3 + 8 / 8 = 
3153.四则运算题目3153    9 + 6 * 1 / 9 = 
3154.四则运算题目3154    6 / 3 * 6 = 
3155.四则运算题目3155    3 + 3 + 8 * 3 = 
3156.四则运算题目3156    3 * 8 + 5 - 5 = 
3157.四则运算题目3157    8 + 9 * 9 = 
3158.四则运算题目3158    7 + 8 / 5 - 8 = 
3159.四则运算题目3159    4 * 8 + 8 + 4 = 
3160.四则运算题目3160    7 + 6 / 9 - 7 = 
3161.四则运算题目3161    7 - 0 / 8 = 
3162.四则运算题目3162    1 + 1 + 1 + 9 = 
3163.四则运算题目3163    4 / 5 * 5 - 4 = 
3164.四则运算题目3164    6 / 9 + 9 * 6 = 
3165.四则运算题目3165    2 * 6 + 6 + 9 = 
3166.四则运算题目3166    4 + 8 * 7 = 
3167.四则运算题目3167    9 - 2 / 9 - 7 = 
3168.四则运算题目3168    5 / 5 / 4 = 
3169.四则运算题目3169    8 * 4 + 9 - 4 = 
3170.四则运算题目3170    1 / 2 + 6 - 3 = 
3171.四则运算题目3171    1 + 9 - 6 / 9 = 
3172.四则运算题目3172    2 + 2 + 7 / 8 = 
3173.四则运算题目3173    6 + 6 / 8 = 
3174.四则运算题目3174    7 + 1 / 6 - 6 = 
3175.四则运算题目3175    2 / 4 + 4 = 
3176.四则运算题目3176    2 + 3 / 1 - 1 = 
3177.四则运算题目3177    5 + 1 / 5 - 4 = 
3178.四则运算题目3178    3 / 7 + 1 = 
3179.四则运算题目3179    9 / 1 * 9 = 
3180.四则运算题目3180    2 / 4 * 2 / 4 = 
3181.四则运算题目3181    7 - 8 / 8 / 7 = 
3182.四则运算题目3182    2 + 2 + 8 * 2 = 
3183.四则运算题目3183    9 + 1 / 7 = 
3184.四则运算题目3184    6 / 9 + 6 / 6 = 
3185.四则运算题目3185    4 * 4 - 4 - 4 = 
3186.四则运算题目3186    4 + 4 + 6 / 6 = 
3187.四则运算题目3187    9 + 9 + 4 - 9 = 
3188.四则运算题目3188    6 + 6 + 0 - 9 = 
3189.四则运算题目3189    3 * 3 * 3 - 2 = 
3190.四则运算题目3190    0 + 3 * 5 / 6 = 
3191.四则运算题目3191    8 + 8 + 4 - 8 = 
3192.四则运算题目3192    4 / 6 + 4 / 8 = 
3193.四则运算题目3193    3 * 8 + 8 + 4 = 
3194.四则运算题目3194    9 / 8 + 6 = 
3195.四则运算题目3195    8 * 5 + 2 - 5 = 
3196.四则运算题目3196    6 * 5 + 9 - 5 = 
3197.四则运算题目3197    4 * 6 - 7 + 4 = 
3198.四则运算题目3198    5 + 5 * 5 + 3 = 
3199.四则运算题目3199    5 - 2 + 9 * 2 = 
3200.四则运算题目3200    4 + 6 / 3 = 
3201.四则运算题目3201    4 / 4 / 4 / 1 = 
3202.四则运算题目3202    6 * 6 * 3 - 6 = 
3203.四则运算题目3203    3 - 8 / 3 = 
3204.四则运算题目3204    7 * 4 + 3 = 
3205.四则运算题目3205    5 * 7 / 2 = 
3206.四则运算题目3206    8 * 6 + 0 - 0 = 
3207.四则运算题目3207    1 * 6 / 3 + 1 = 
3208.四则运算题目3208    3 / 5 + 6 = 
3209.四则运算题目3209    1 + 9 * 9 = 
3210.四则运算题目3210    0 + 9 / 5 * 5 = 
3211.四则运算题目3211    9 / 7 * 7 * 9 = 
3212.四则运算题目3212    9 / 9 + 9 / 9 = 
3213.四则运算题目3213    7 + 0 / 5 - 7 = 
3214.四则运算题目3214    6 * 5 - 6 = 
3215.四则运算题目3215    9 + 3 * 7 / 9 = 
3216.四则运算题目3216    6 / 6 / 9 * 1 = 
3217.四则运算题目3217    5 + 2 / 5 + 5 = 
3218.四则运算题目3218    6 + 6 + 8 * 6 = 
3219.四则运算题目3219    6 + 3 * 8 - 6 = 
3220.四则运算题目3220    2 * 1 + 1 + 4 = 
3221.四则运算题目3221    8 + 8 + 5 / 8 = 
3222.四则运算题目3222    2 + 4 / 4 / 5 = 
3223.四则运算题目3223    4 * 5 / 5 / 8 = 
3224.四则运算题目3224    9 + 7 - 7 - 7 = 
3225.四则运算题目3225    6 / 8 * 8 = 
3226.四则运算题目3226    7 - 5 * 6 / 7 = 
3227.四则运算题目3227    6 * 6 * 9 / 4 = 
3228.四则运算题目3228    2 + 3 * 6 - 3 = 
3229.四则运算题目3229    4 + 6 * 4 + 4 = 
3230.四则运算题目3230    5 / 2 + 2 + 8 = 
3231.四则运算题目3231    6 * 5 + 5 + 8 = 
3232.四则运算题目3232    0 / 2 + 8 - 3 = 
3233.四则运算题目3233    8 * 7 - 8 = 
3234.四则运算题目3234    7 + 7 + 7 - 6 = 
3235.四则运算题目3235    4 - 8 / 5 + 5 = 
3236.四则运算题目3236    9 - 7 + 4 / 7 = 
3237.四则运算题目3237    7 / 6 - 1 + 7 = 
3238.四则运算题目3238    3 - 2 / 3 = 
3239.四则运算题目3239    6 + 6 + 8 / 8 = 
3240.四则运算题目3240    7 + 7 + 0 - 1 = 
3241.四则运算题目3241    3 - 1 / 8 + 3 = 
3242.四则运算题目3242    3 + 3 * 6 / 3 = 
3243.四则运算题目3243    0 + 4 / 6 * 0 = 
3244.四则运算题目3244    5 + 1 - 1 - 3 = 
3245.四则运算题目3245    4 * 4 * 4 * 2 = 
3246.四则运算题目3246    9 + 9 + 1 - 9 = 
3247.四则运算题目3247    1 + 8 * 6 - 1 = 
3248.四则运算题目3248    8 * 9 - 2 / 8 = 
3249.四则运算题目3249    6 / 2 - 3 + 2 = 
3250.四则运算题目3250    8 + 3 / 7 = 
3251.四则运算题目3251    3 * 3 - 6 / 2 = 
3252.四则运算题目3252    0 + 5 / 8 * 5 = 
3253.四则运算题目3253    9 * 6 + 9 * 6 = 
3254.四则运算题目3254    6 + 6 + 3 * 3 = 
3255.四则运算题目3255    9 * 3 / 3 / 3 = 
3256.四则运算题目3256    1 * 2 - 6 / 6 = 
3257.四则运算题目3257    1 + 1 + 1 + 6 = 
3258.四则运算题目3258    3 - 1 * 1 + 7 = 
3259.四则运算题目3259    3 + 3 - 3 / 3 = 
3260.四则运算题目3260    5 + 4 * 4 * 3 = 
3261.四则运算题目3261    5 * 5 / 6 + 6 = 
3262.四则运算题目3262    0 + 0 + 9 / 6 = 
3263.四则运算题目3263    6 + 3 / 6 = 
3264.四则运算题目3264    9 * 5 + 6 / 6 = 
3265.四则运算题目3265    1 + 4 / 8 = 
3266.四则运算题目3266    6 * 6 * 3 + 8 = 
3267.四则运算题目3267    3 * 3 * 7 = 
3268.四则运算题目3268    1 / 1 / 2 * 2 = 
3269.四则运算题目3269    7 - 4 + 7 - 6 = 
3270.四则运算题目3270    6 / 3 + 9 * 6 = 
3271.四则运算题目3271    2 - 8 / 8 / 2 = 
3272.四则运算题目3272    6 + 7 * 5 = 
3273.四则运算题目3273    9 / 5 * 2 = 
3274.四则运算题目3274    4 + 5 / 2 = 
3275.四则运算题目3275    8 / 3 + 5 - 2 = 
3276.四则运算题目3276    0 / 6 + 2 - 2 = 
3277.四则运算题目3277    4 + 6 * 7 - 7 = 
3278.四则运算题目3278    2 + 2 + 3 / 7 = 
3279.四则运算题目3279    9 / 5 + 1 * 4 = 
3280.四则运算题目3280    5 - 2 + 5 - 2 = 
3281.四则运算题目3281    3 * 6 / 6 / 6 = 
3282.四则运算题目3282    0 * 3 + 9 - 3 = 
3283.四则运算题目3283    3 + 8 * 5 = 
3284.四则运算题目3284    3 / 5 + 5 + 1 = 
3285.四则运算题目3285    9 * 6 - 9 * 3 = 
3286.四则运算题目3286    3 / 8 * 8 = 
3287.四则运算题目3287    5 + 9 - 3 = 
3288.四则运算题目3288    5 - 2 * 2 + 5 = 
3289.四则运算题目3289    2 * 2 * 3 + 1 = 
3290.四则运算题目3290    7 + 4 / 7 - 7 = 
3291.四则运算题目3291    9 / 9 / 1 * 7 = 
3292.四则运算题目3292    9 + 2 / 8 = 
3293.四则运算题目3293    7 / 7 / 6 + 6 = 
3294.四则运算题目3294    6 + 1 / 3 - 6 = 
3295.四则运算题目3295    0 * 0 * 9 / 2 = 
3296.四则运算题目3296    9 - 6 + 9 - 4 = 
3297.四则运算题目3297    1 / 9 + 9 = 
3298.四则运算题目3298    8 + 9 - 1 = 
3299.四则运算题目3299    3 / 3 / 1 + 5 = 
3300.四则运算题目3300    7 - 6 / 6 / 7 = 
3301.四则运算题目3301    9 + 9 + 7 / 8 = 
3302.四则运算题目3302    9 * 6 - 6 - 8 = 
3303.四则运算题目3303    7 + 8 - 8 - 6 = 
3304.四则运算题目3304    3 * 7 - 7 = 
3305.四则运算题目3305    9 + 9 + 7 * 3 = 
3306.四则运算题目3306    1 - 3 / 7 = 
3307.四则运算题目3307    4 + 9 / 4 + 4 = 
3308.四则运算题目3308    5 * 2 / 2 / 2 = 
3309.四则运算题目3309    8 * 2 / 5 + 2 = 
3310.四则运算题目3310    4 * 6 - 5 + 4 = 
3311.四则运算题目3311    6 * 9 + 5 = 
3312.四则运算题目3312    2 + 6 * 2 + 6 = 
3313.四则运算题目3313    3 * 3 * 4 / 9 = 
3314.四则运算题目3314    5 - 9 / 6 + 5 = 
3315.四则运算题目3315    7 / 9 * 9 * 7 = 
3316.四则运算题目3316    5 / 8 + 5 / 1 = 
3317.四则运算题目3317    9 + 4 * 7 - 7 = 
3318.四则运算题目3318    5 * 9 - 9 - 5 = 
3319.四则运算题目3319    8 + 4 / 8 + 7 = 
3320.四则运算题目3320    5 - 3 + 1 * 5 = 
3321.四则运算题目3321    8 / 9 * 0 + 8 = 
3322.四则运算题目3322    3 + 8 - 5 / 3 = 
3323.四则运算题目3323    1 + 1 + 5 - 1 = 
3324.四则运算题目3324    7 / 2 - 2 = 
3325.四则运算题目3325    4 + 5 / 5 / 5 = 
3326.四则运算题目3326    8 - 7 / 2 = 
3327.四则运算题目3327    6 + 2 * 0 / 2 = 
3328.四则运算题目3328    7 + 7 + 0 - 0 = 
3329.四则运算题目3329    4 + 6 / 6 / 4 = 
3330.四则运算题目3330    3 * 3 + 3 + 0 = 
3331.四则运算题目3331    7 + 5 - 7 + 5 = 
3332.四则运算题目3332    2 / 5 + 5 + 6 = 
3333.四则运算题目3333    7 * 7 - 7 * 3 = 
3334.四则运算题目3334    4 * 5 + 4 * 5 = 
3335.四则运算题目3335    5 + 6 / 5 = 
3336.四则运算题目3336    2 / 6 * 2 = 
3337.四则运算题目3337    2 + 2 + 2 / 2 = 
3338.四则运算题目3338    8 * 9 / 5 = 
3339.四则运算题目3339    4 * 4 - 3 + 4 = 
3340.四则运算题目3340    5 / 2 - 2 = 
3341.四则运算题目3341    8 + 9 * 4 - 4 = 
3342.四则运算题目3342    9 - 1 / 9 + 9 = 
3343.四则运算题目3343    8 * 4 - 8 = 
3344.四则运算题目3344    4 + 4 + 7 - 4 = 
3345.四则运算题目3345    9 * 5 / 3 + 4 = 
3346.四则运算题目3346    4 * 4 * 8 + 9 = 
3347.四则运算题目3347    7 * 7 / 2 + 2 = 
3348.四则运算题目3348    8 * 3 - 1 = 
3349.四则运算题目3349    1 * 5 + 7 - 7 = 
3350.四则运算题目3350    9 - 6 + 9 - 6 = 
3351.四则运算题目3351    2 + 9 * 9 * 5 = 
3352.四则运算题目3352    6 - 2 / 2 + 2 = 
3353.四则运算题目3353    8 + 4 - 8 + 1 = 
3354.四则运算题目3354    4 / 9 + 7 * 5 = 
3355.四则运算题目3355    3 / 1 + 1 + 9 = 
3356.四则运算题目3356    1 / 9 + 9 + 9 = 
3357.四则运算题目3357    2 - 1 / 8 = 
3358.四则运算题目3358    3 * 6 / 3 * 4 = 
3359.四则运算题目3359    9 / 8 + 8 + 9 = 
3360.四则运算题目3360    6 + 8 / 3 = 
3361.四则运算题目3361    4 + 7 / 1 = 
3362.四则运算题目3362    9 + 7 * 9 = 
3363.四则运算题目3363    3 + 3 + 6 / 5 = 
3364.四则运算题目3364    5 + 9 / 2 - 2 = 
3365.四则运算题目3365    7 / 7 / 3 = 
3366.四则运算题目3366    2 / 4 * 4 * 9 = 
3367.四则运算题目3367    9 + 3 * 6 - 6 = 
3368.四则运算题目3368    3 - 3 / 2 + 2 = 
3369.四则运算题目3369    6 + 2 / 6 + 2 = 
3370.四则运算题目3370    4 + 6 * 4 / 4 = 
3371.四则运算题目3371    4 - 4 + 1 / 6 = 
3372.四则运算题目3372    7 + 5 / 5 / 5 = 
3373.四则运算题目3373    9 / 9 / 9 / 2 = 
3374.四则运算题目3374    4 / 6 + 6 + 5 = 
3375.四则运算题目3375    3 + 9 * 9 * 3 = 
3376.四则运算题目3376    2 / 2 / 1 = 
3377.四则运算题目3377    6 * 7 + 1 / 3 = 
3378.四则运算题目3378    6 * 6 * 7 / 7 = 
3379.四则运算题目3379    1 * 1 / 4 + 1 = 
3380.四则运算题目3380    7 + 6 * 9 = 
3381.四则运算题目3381    7 - 5 / 6 + 6 = 
3382.四则运算题目3382    6 / 9 + 4 = 
3383.四则运算题目3383    8 / 1 + 8 / 7 = 
3384.四则运算题目3384    0 + 9 / 6 * 9 = 
3385.四则运算题目3385    4 / 2 * 2 * 1 = 
3386.四则运算题目3386    7 / 2 + 8 - 8 = 
3387.四则运算题目3387    9 + 5 * 9 + 2 = 
3388.四则运算题目3388    4 + 5 / 4 = 
3389.四则运算题目3389    9 + 0 - 0 - 0 = 
3390.四则运算题目3390    6 * 8 - 6 + 2 = 
3391.四则运算题目3391    1 + 7 - 7 - 0 = 
3392.四则运算题目3392    1 + 1 + 9 / 7 = 
3393.四则运算题目3393    7 * 5 + 7 * 5 = 
3394.四则运算题目3394    1 + 1 + 7 * 4 = 
3395.四则运算题目3395    4 / 4 / 9 + 4 = 
3396.四则运算题目3396    9 + 6 / 3 - 3 = 
3397.四则运算题目3397    4 * 1 / 1 / 1 = 
3398.四则运算题目3398    6 + 6 + 6 + 3 = 
3399.四则运算题目3399    8 / 9 * 2 + 9 = 
3400.四则运算题目3400    7 * 6 - 7 * 6 = 
3401.四则运算题目3401    1 / 1 / 1 / 3 = 
3402.四则运算题目3402    4 * 9 + 9 + 6 = 
3403.四则运算题目3403    1 + 8 / 8 / 6 = 
3404.四则运算题目3404    7 * 6 - 6 - 7 = 
3405.四则运算题目3405    2 * 5 / 9 = 
3406.四则运算题目3406    2 + 3 - 0 / 3 = 
3407.四则运算题目3407    6 / 4 + 6 / 9 = 
3408.四则运算题目3408    6 * 6 * 6 - 6 = 
3409.四则运算题目3409    7 * 6 + 6 + 7 = 
3410.四则运算题目3410    7 + 3 / 8 = 
3411.四则运算题目3411    1 / 6 + 2 = 
3412.四则运算题目3412    9 - 2 * 6 / 9 = 
3413.四则运算题目3413    1 / 1 / 8 = 
3414.四则运算题目3414    8 * 8 * 9 / 9 = 
3415.四则运算题目3415    4 + 5 * 8 = 
3416.四则运算题目3416    5 + 6 / 5 * 3 = 
3417.四则运算题目3417    1 * 1 / 3 = 
3418.四则运算题目3418    0 * 3 + 3 + 6 = 
3419.四则运算题目3419    5 / 5 * 5 * 9 = 
3420.四则运算题目3420    7 + 6 / 6 / 7 = 
3421.四则运算题目3421    3 + 1 - 3 / 3 = 
3422.四则运算题目3422    3 - 2 + 2 + 1 = 
3423.四则运算题目3423    5 / 8 + 8 + 1 = 
3424.四则运算题目3424    9 * 8 / 8 / 5 = 
3425.四则运算题目3425    9 + 5 * 9 - 9 = 
3426.四则运算题目3426    0 + 7 * 7 * 7 = 
3427.四则运算题目3427    5 * 7 - 7 - 3 = 
3428.四则运算题目3428    5 - 3 + 8 * 8 = 
3429.四则运算题目3429    9 * 4 - 9 + 4 = 
3430.四则运算题目3430    7 / 6 + 7 - 6 = 
3431.四则运算题目3431    1 / 1 * 3 + 4 = 
3432.四则运算题目3432    9 / 4 * 4 = 
3433.四则运算题目3433    8 * 3 + 3 + 4 = 
3434.四则运算题目3434    8 - 9 / 8 - 3 = 
3435.四则运算题目3435    1 + 3 / 3 * 2 = 
3436.四则运算题目3436    2 + 9 * 8 - 2 = 
3437.四则运算题目3437    4 - 2 + 5 * 2 = 
3438.四则运算题目3438    4 - 3 / 4 - 3 = 
3439.四则运算题目3439    5 * 5 * 6 = 
3440.四则运算题目3440    2 / 2 / 5 + 2 = 
3441.四则运算题目3441    8 - 5 + 5 + 5 = 
3442.四则运算题目3442    1 / 4 + 4 + 4 = 
3443.四则运算题目3443    6 + 6 + 1 * 8 = 
3444.四则运算题目3444    3 * 6 - 6 + 3 = 
3445.四则运算题目3445    1 + 1 + 9 / 9 = 
3446.四则运算题目3446    6 / 2 * 8 - 8 = 
3447.四则运算题目3447    1 / 1 / 4 = 
3448.四则运算题目3448    7 / 7 / 7 / 7 = 
3449.四则运算题目3449    9 + 6 - 4 = 
3450.四则运算题目3450    7 + 3 / 9 * 9 = 
3451.四则运算题目3451    8 / 7 - 1 = 
3452.四则运算题目3452    5 / 5 / 5 / 5 = 
3453.四则运算题目3453    3 * 2 + 5 - 4 = 
3454.四则运算题目3454    8 / 5 * 2 + 5 = 
3455.四则运算题目3455    2 / 6 + 6 + 6 = 
3456.四则运算题目3456    7 * 7 * 3 = 
3457.四则运算题目3457    8 / 3 + 8 = 
3458.四则运算题目3458    5 + 1 / 1 / 1 = 
3459.四则运算题目3459    8 * 7 / 4 + 7 = 
3460.四则运算题目3460    6 - 1 / 3 + 6 = 
3461.四则运算题目3461    1 / 1 * 5 + 1 = 
3462.四则运算题目3462    6 + 4 * 6 + 1 = 
3463.四则运算题目3463    9 * 9 * 8 + 9 = 
3464.四则运算题目3464    6 - 6 / 2 + 2 = 
3465.四则运算题目3465    7 - 0 * 4 + 5 = 
3466.四则运算题目3466    2 + 2 + 2 * 1 = 
3467.四则运算题目3467    8 - 4 / 7 * 2 = 
3468.四则运算题目3468    3 + 4 / 3 = 
3469.四则运算题目3469    2 / 9 + 9 = 
3470.四则运算题目3470    0 + 5 * 5 * 0 = 
3471.四则运算题目3471    8 + 8 / 5 = 
3472.四则运算题目3472    9 - 6 + 5 / 9 = 
3473.四则运算题目3473    5 * 3 + 2 / 3 = 
3474.四则运算题目3474    6 * 4 / 6 * 6 = 
3475.四则运算题目3475    2 * 3 + 0 - 2 = 
3476.四则运算题目3476    6 * 5 + 5 + 6 = 
